id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1144	language games	0.951	0.2682	2	3	6	4	2021.5	1.5	0.2243
1153	learn+	-0.0172	0.1186	3	13	14	3	2022	0	0
1154	learning	0.303	-0.776	6	12	21	7	2017.8571	6.4286	0.8942
1156	learning approach	-0.7607	0.1389	1	22	26	4	2019.25	8	0.9688
1161	learning environments	-0.2008	-0.1539	4	13	18	3	2023	0.6667	0.0657
1166	learning materials	-1.2039	-0.1133	1	12	14	3	2019.3333	17.3333	1.4278
1167	learning mathematics	-0.8016	0.1547	1	44	76	15	2020.0667	3.8667	0.5174
1170	learning models	-0.7316	0.2791	1	19	23	4	2019.75	4	0.4453
1176	learning process	-0.5491	-0.3101	1	17	21	4	2019.25	14.25	1.5322
1183	learning style	-0.2171	-0.8094	6	4	5	3	2015.3333	1.6667	0.3382
1185	learning systems	-0.7548	-0.0838	1	46	81	14	2020.6429	8.0714	1.1646
1210	linear equations	-0.589	-0.2051	4	14	16	4	2019.75	8.75	1.1426
1218	literacy	0.5082	0.3356	9	12	20	8	2017.75	10.625	1.8838
1221	literature reviews	-0.9083	0.4505	1	11	14	4	2019.5	4.25	0.49
1222	literature studies	-0.8149	0.3321	1	14	15	3	2019.3333	3.3333	0.3527
1228	local culture	1.0569	-0.2249	5	7	9	3	2025	0.3333	0.3018
1230	local knowledge	0.7667	0.5305	8	3	3	4	2023	3.5	0.9267
1235	local wisdom	0.4955	-0.3018	2	4	6	5	2024.8	2	0.5975
1301	mathematical analysis	0.3417	-0.0956	5	14	19	4	2020.5	2.25	0.2265
1303	mathematical approach	-0.9182	0.1067	1	13	17	3	2019.3333	6.3333	0.6965
1306	mathematical communication	-0.8808	-0.5005	4	16	17	3	2021	4	1.0232
1310	mathematical concepts	-0.6257	0.177	1	76	170	36	2020.7778	5.4444	0.7469
1315	mathematical creative thinking	1.1381	0.8616	9	3	7	5	2024	21.2	3.8445
1318	mathematical education	0.2072	0.2242	5	9	10	3	2021	0.6667	0.0593
1324	mathematical ideas	0.3919	0.4244	2	6	8	3	2022.6667	14.6667	2.537
1327	mathematical knowledge	0.1524	0.383	3	20	26	10	2019.5	3.5	0.3086
1331	mathematical literacy	0.0568	0.2067	3	9	14	6	2024	4.3333	1.2285
1333	mathematical modeling	0.5641	0.0533	2	22	39	9	2020.8889	5.1111	0.7118
1334	mathematical modelling	0.6578	0.2297	2	24	42	12	2020.3333	8.9167	1.3169
1336	mathematical practice	0.2679	0.4374	2	8	10	5	2018	12.2	1.7041
1337	mathematical practices	0.5599	0.5874	8	5	6	4	2019.75	4	0.5174
1338	mathematical principle	-0.42	0.2149	1	12	12	3	2016.6667	5	0.4501
1339	mathematical problem solving	-0.8985	-0.357	1	28	40	6	2021.8333	9.5	0.9345
1341	mathematical problems	-0.9437	-0.1811	1	24	39	6	2020	6	0.7099
1342	mathematical reasoning	-1.2785	-0.0406	1	8	9	3	2024	0.6667	0.1138
1344	mathematical representations	-0.9515	0.2842	1	15	16	3	2019.3333	8	0.8608
1347	mathematical techniques	-0.1014	0.1669	1	8	10	3	2010	2	0.2179
1349	mathematical thinking	0.0305	-0.0979	3	14	14	4	2022.75	2	0.6688
1351	mathematics	0.6146	-0.1069	2	46	67	26	2019.4615	9.9231	1.6505
1358	mathematics curricula	-0.1002	0.0763	4	18	19	3	2022.3333	4.6667	0.2951
1359	mathematics curriculum	1.1568	-0.29	5	3	4	4	2018.5	8.75	0.7165
1360	mathematics education	0.2418	-0.1554	7	94	208	75	2019.8	6.6933	1.0955
1373	mathematics learning	-0.5545	-0.0073	1	79	169	35	2020.3429	6.1429	1.0582
1382	mathematics teacher	-0.3557	0.0077	3	27	34	6	2020.3333	4.6667	0.5975
1387	mathematics teaching and learning	0.9932	0.2215	8	3	5	3	2022.6667	3.6667	0.6257
1390	mathematization	0.5789	-0.3981	7	8	10	3	2020.3333	6	0.775
1402	meaningful learning	0.9241	-0.046	2	6	7	3	2022.3333	5.3333	3.3228
1404	measurement	2.0631	-0.4081	12	1	3	3	2023.6667	3.3333	0.945
1422	meta-analysis	-0.8351	-0.7423	4	6	8	4	2024.5	5.75	2.2083
1425	metacognitives	-0.662	-0.3894	1	18	21	3	2022	7.3333	1.0459
1449	modeling	0.4361	-0.5651	7	13	18	5	2016.8	15.6	1.3729
1460	modulo	-0.9379	1.2296	10	2	3	3	2020.6667	22.3333	2.9695
1465	motivation	0.2816	-0.2493	2	5	6	4	2018	25.25	2.1914
1499	narratives	0.6529	-0.551	7	4	5	3	2020.3333	1	0.2492
1543	number system	0.1681	-0.9385	6	5	8	3	2018.3333	1.3333	0.7389
1547	numbers	-0.3869	-0.5873	3	3	5	3	2022.6667	2	0.4294
1548	numeracy	0.4874	0.4295	9	10	15	6	2017.3333	11.3333	2.7417
1552	numeracy skills	1.2296	0.9337	9	2	4	3	2024.3333	1.3333	1.0169
1561	numerical cognition	0.1471	-0.9649	6	4	5	3	2017	6.3333	0.6508
1605	papua new guinea	0.2239	-0.8594	6	6	12	7	2014.5714	11.7143	1.4045
1606	parallel line	-0.9968	0.2283	1	18	21	3	2020.3333	11.3333	1.6099
1618	pattern	0.2985	-0.9038	6	5	6	3	2008	5.6667	0.3535
1626	pedagogical action	0.7365	0.0776	2	6	13	5	2021.4	8.6	0.9498
1635	pedagogy	0.8324	0.2691	8	8	10	4	2022	8.75	1.362
1644	personnel training	0.4022	0.1984	2	17	25	3	2024.3333	0.3333	0.1115
1652	philosophical aspects	-0.5082	0.521	1	12	13	3	2019.3333	2.6667	0.3109
1657	philosophy	-0.1637	0.7281	4	2	4	3	2008	36.3333	2.4924
1659	philosophy of difference	0.5887	0.8137	8	2	4	3	2021.3333	0.6667	0.1138
1661	philosophy of mathematics	-0.3855	-0.4942	3	7	9	3	2020.3333	2	0.1531
1666	physics	-0.7638	0.0665	1	73	168	40	2019.675	8.45	0.8609
1700	post test	-0.7083	-0.2781	1	10	11	3	2016	3.3333	0.3707
1724	preliminary design	-0.6557	-0.0496	1	9	11	3	2019	6.6667	0.6264
1728	primary education	-0.2767	-0.1232	4	15	17	4	2018.75	14.25	2.2164
1732	primary schools	-0.0252	-0.0825	2	28	38	6	2021	5	0.7222
1739	problem based learning	-1.0054	-0.1553	1	26	36	6	2019.5	8	0.7883
1741	problem solving	0.002	-0.4199	2	35	48	12	2020.3333	7.5833	0.7112
1742	problem solving skills	-0.7661	-0.2749	1	24	33	5	2020.8	6	0.7738
1743	problem-based learning	0.7939	-0.3404	2	4	5	3	2024.3333	4	1.3413
1746	problem-solving	0.0179	-0.4828	2	21	29	8	2023.375	7.125	3.0622
1747	problem-solving abilities	-0.8909	-0.2645	1	17	23	3	2020	8.6667	0.9917
1755	professional aspects	-0.0119	0.2986	3	15	18	3	2023.6667	0	0
1789	qualitative approach	-0.6289	0.4211	1	26	36	7	2019.8571	4.7143	0.5836
1790	qualitative method	-0.8387	0.424	1	19	25	4	2020.75	4.5	0.5883
1791	qualitative research	-0.375	0.1923	1	38	48	9	2020.3333	2.5556	0.3439
1793	quality education	0.434	-0.2322	2	9	10	3	2023.6667	3.6667	0.6195
1807	random sampling	-1.1218	-0.1985	1	19	32	5	2020.4	6.2	0.8219
1810	rasch model	1.1791	0.894	9	4	7	4	2023.75	5	0.873
1822	realistic mathematics education	-0.6857	-0.8202	4	5	7	4	2023.25	14.25	2.4161
1847	research and development	-0.6105	-0.2891	1	22	31	6	2020.5	8.6667	0.9256
1856	research instruments	-0.9729	-0.0675	1	24	40	6	2019.5	14	1.5206
1859	research methods	-0.8449	0.0829	1	37	49	8	2020.125	4.375	0.4902
1867	research subjects	-0.6681	0.3279	1	22	25	4	2020	3.75	0.5933
1888	rural areas	-0.5093	0.3098	1	26	27	5	2020.2	6.8	0.7292
1892	rural education	0.8411	0.3532	2	9	13	4	2021	2.5	0.3185
1905	sampling technique	-1.1281	-0.0907	1	16	22	4	2020	6.5	0.7153
1918	school mathematics	-0.2488	0.2159	4	30	41	9	2021.3333	12.1111	1.613
1920	school students	0.1549	-0.101	2	19	23	3	2023.3333	0.6667	0.4133
1936	secondary schools	-0.6005	-0.0543	1	23	31	5	2019.6	6.6	0.7246
1946	semi structured interviews	-0.6483	0.5332	1	14	17	3	2019.6667	2.3333	0.2586
1974	social justice	0.4745	-0.463	7	9	18	6	2019.1667	5.8333	0.6888
1984	socio-cultural	0.0014	0.4105	1	18	20	3	2017.3333	33.6667	2.0334
2010	south africa	-0.1416	0.405	3	12	14	3	2022.3333	0.6667	0.0856
2038	stem	0.1893	-0.2365	5	15	18	3	2022.6667	6	0.7943
2039	"stem (science, technology, engineering and mathematics)"	-0.592	0.2378	1	22	28	4	2021	6.25	0.8024
2041	stem education	0.5338	-0.1645	2	16	20	4	2021	11	1.2374
2065	students	-0.6136	-0.1196	1	104	343	66	2020.3485	6.7273	0.8066
2080	sundanese culture	0.0378	-0.3272	2	5	6	3	2022.3333	6	0.8247
2086	surveys	-0.9843	0.11	1	21	25	5	2019.4	5	0.51
2088	sustainable development goals	0.4524	-0.2482	2	10	11	3	2024.3333	0.3333	0.1115
2096	symmetry	1.0713	0.2914	6	3	6	4	2015.75	5	0.5782
2104	systematic review	1.0367	-0.1405	2	14	16	6	2023.6667	13.6667	4.4494
2110	t-tests	-0.9488	-0.3111	1	21	30	5	2020.4	7.8	1.1222
2122	teacher education	0.997	-0.0166	2	19	30	11	2021.4545	4.5455	1.0427
2127	teacher professional development	-0.0867	0.3134	3	10	11	3	2018.3333	21.6667	2.9831
2129	teacher training	0.6205	0.1483	2	13	18	3	2021	2.6667	0.5328
2131	teachers	0.9612	-0.5557	11	3	5	3	2018.3333	3.6667	0.5304
2133	teachers'	-0.2994	0.1602	3	27	34	5	2022.4	0.2	0.1811
2142	teaching	0.0596	-0.1479	3	70	133	27	2020.1111	4.7778	0.6284
2144	teaching and learning	-0.1385	-0.2711	4	28	37	7	2020.8571	3.1429	0.4829
2149	teaching materials	-0.5687	0.1069	1	22	28	7	2020.8571	4.8571	0.8857
2154	teaching of mathematics	0.7404	-0.1633	5	3	6	4	2014	1.75	0.2298
2200	thinking process	-0.7771	-0.0135	1	18	21	4	2019.25	8.5	1.1431
2229	traditional game	-0.0411	-0.2832	5	14	15	3	2022.6667	3.3333	0.6816
2230	traditional games	-0.069	-0.3525	2	7	9	5	2022.6	8.4	1.3004
2231	traditional house	-0.7686	0.4046	1	23	31	6	2020.3333	4.6667	0.6533
2243	transdisciplinarity	0.9571	0.5106	2	3	4	3	2022.6667	0	0
2317	weaving	-0.1602	0.254	1	20	25	6	2019.5	3.3333	0.6324
2362	youth and adult education	0.8548	0.6479	9	5	8	5	2014	2	0.2705
